 Here is the list of universities/institutes and their corresponding nations in tsv format:

University of Pitesti	Romania
Indian Institute of Technology (IIT) - Hyderabad	India
University of the Philippines Open University	Philippines
Far Eastern University	Philippines
University of Montana System	United States
University of Puerto Rico Rio Piedras	Puerto Rico
Smithsonian Environmental Research Center	United States
University of the Philippines Diliman	Philippines
University of the Philippines Los Banos	Philippines
Institute Penyelidikan Perhutanan Malaysia	Malaysia
Pontificia Universidad Catolica del Ecuador	Ecuador
University of the Philippines System	Philippines
International Center for Tropical Agriculture - CIAT	Colombia
University of Montana	United States 
Alliance	India
Space Applications Centre (SAC)	India
National Chiayi University	Taiwan
Swiss Federal Institute for Forest Snow & Landscape Research 	Switzerland
United States Forest Service	United States
University of Jos	Nigeria
Sunnybrook Research Institute	Canada
Rhode Island Hospital	United States
Butler Hospital Rhode Island	United States
Johnson & Johnson USA	United States
Hartford Hospital	United States 
Sunnybrook Health Science Center	Canada
Lifespan Health Rhode Island	United States
Wake Forest University School of Medicine	United States
Alzheimer's Association	United States
Cleveland Clinic Foundation	United States
Wellcome Trust Sanger Institute	United Kingdom
Nova Southeastern University	United States
Korea Polar Research Institute (KOPRI)	South Korea
Earlham Institute	United Kingdom
Kazusa DNA Research Institute	Japan
Broad Institute	United States
University of Massachusetts Worcester	United States
Woods Hole Oceanographic Institution	United States
Rockefeller University	United States
Leibniz Institut fur Zoo und Wildtierforschung	Germany
Royal Botanic Gardens Kew	United Kingdom
Australian Museum	Australia
Colby College	United States
Suzhou City University	China
Yaroslav the Wise Novgorod State University	Russia
Leibniz Institut fur Oberflachenmodifizierung (IOM)	Germany
Zhejiang Academy of Medical Sciences	China 
Jiangsu Second Normal University	China
Guangzhou Academy of Fine Arts	China
Erzincan Binali Yildirim University	Turkey
Lincoln University - New Zealand	New Zealand
Monmouth University	United States
Jiangsu Police Institute	China
Wuhan Business University	China
Universitat Trier	Germany
Institute of Technical Acoustics of the National Academy of Sciences of Belarus	Belarus
Institute of Chemical Industry of Forest Products CAF	China
NSF - Directorate for Computer & Information Science & Engineering (CISE)	United States
Gomel State Medical University	Belarus
Institute of Chemical Engineering Guangdong Academy of Sciences	China
University of Graz	Austria
Medical University Sofia	Bulgaria
Coppin State University	United States
Youngstown State University	United States
Universite de Gabes	Tunisia
Nanjing Institute of Agricultural Mechanization CAAS	China
Nanjing Institute of Geography & Limnology CAS	China
Brooklyn College (CUNY)	United States
Trina Solar	China
University of Chittagong	Bangladesh
Chaohu University	China
Universiti Tunku Abdul Rahman (UTAR)	Malaysia
Kumoh National University Technology	South Korea
CompuTherm LLC	United States
Scientific & Technological Center of Unique Instrumentation of the Russian Academy of Sciences	Russia
Bank of Montreal	Canada
University of Arkansas Fort Smith	United States 
British Columbia Institute of Technology	Canada
Lite-On Technology Corp	Taiwan
Monmouth College	United States
Air Liquide	France
Wuhan Donghu University	China
Gandhigram Rural Institute	India
Technical University Zvolen	Slovakia
University of Public Service	Hungary
Dolby Laboratories Inc.	United States
Anhui University of Chinese Medicine	China
Nanjing General Hospital	China
Rutgers State University Medical Center	United States
Charles Sturt University	Australia
Future University Hakodate	Japan
Nanjing Sport Institute	China
Universite de Jijel	Algeria
Oslo Metropolitan University (OsloMet)	Norway
Rizhao Polytechnic	China
UOC Universitat Oberta de Catalunya	Spain
Nanyang Polytechnic	Singapore
Loma Linda University	United States
Kunming General Hospital	China
LNM Institute of Information Technology	India
Laurentian University	Canada
Saab Group	Sweden
Max Born Institute for Nonlinear Optics & Short Term Spectroscopy	Germany
SUNY New Paltz	United States
Slovak University of Technology Bratislava	Slovakia
National Institute of Technology Rourkela	India
National Wildlife Research Centre
