 Here is the list of nations for the given universities and institutes:

Luxembourg Institute of Science & Technology	Luxembourg 
CSIC-UIB - Instituto de Fisica Interdisciplinar y Sistemas Complejos (IFISC)	Spain
National Astronomical Observatory of Japan (NAOJ)	Japan
Beijing Advanced Sciences & Innovation Center CAS	China
American University of Sharjah	United Arab Emirates 
Gansu University of Political Science & Law	China
Swiss Federal Institute of Aquatic Science & Technology (EAWAG)	Switzerland
National University of Political Studies & Public Administration  	Romania
Changchun University of Chinese Medicine	China
Resources for the Future	United States
Xiamen Tungsten Co Ltd  	China
Beijing Institute of Genomics CAS	China
NASA Goddard Space Flight Center	United States
California State University Fullerton	United States
Infrastructure University Kuala Lumpur (IUKL)	Malaysia
Norwegian University of Life Sciences	Norway 
Leibniz Institut fur Plasmaforschung und Technologie	Germany
South Eastern University of Sri Lanka	Sri Lanka
A*STAR - Singapore Bioimaging Consortium (SBIC)	Singapore
A*STAR - Institute of Bioengineering & Bioimaging (IBB)	Singapore
Natural Environment Research Council (NERC)	United Kingdom
Plymouth Marine Laboratory 	United Kingdom  
NERC National Centre for Earth Observation	United Kingdom
University for Development Studies	Ghana
Innovative Scientific Solutions Inc.	United States
Plastic Surgery Hospital - CAMS	China
Yokohama City University	Japan
Institute of Eco-environmental & Soil Sciences Guangdong Academy of Sciences	China
David Geffen School of Medicine at UCLA	United States
University of California Los Angeles Medical Center	United States
October 6 University (O6U)	Egypt
Ain Shams University	Egypt
Telkom University	Indonesia
Universidade Federal do Espirito Santo	Brazil
Lishui University	China
University of Montenegro 	Montenegro
Leibniz Institut fur Tropospharenforschung (TROPOS)	Germany  
University of Tehran	Iran
Toyota Motor Corporation	Japan
Ecole Nationale dIngenieurs de Sfax (ENIS)	Tunisia
University of Central Arkansas	United States
Taibah University	Saudi Arabia
Universidade Federal do Parana	Brazil
Nosov Magnitogorsk State Technical University	Russia
Guangxi University of Finance & Economics	China
Rollins School Public Health	United States
Okayama Prefectural University	Japan
NICTA	Australia
West University of Timisoara	Romania
Lublin University of Technology	Poland
Zhongkai University of Agriculture & Engineering	China
Intelligent Fusion Technology	China
Binzhou Polytechnic	China
University of Zielona Gora	Poland
National Center Atmospheric Research (NCAR) - USA	United States
Meharry Medical College	United States
Tohoku Gakuin University	Japan
Technical University of Crete	Greece
Universidad ICESI	Colombia
Universidad de la Laguna	Spain
Instituto de Astrofisica de Canarias	Spain
New Mexico Institute of Mining Technology  	United States
Samsung Display	South Korea
Vidyasirimedhi Institute of Science & Technology	Thailand
Electricite de France (EDF)	France
Kermanshah University of Technology	Iran
Korea Aerospace University	South Korea
CSIC - Instituto de Fisica Fundamental (IFF)	Spain
BMW AG	Germany
Ecole nationale superieure de chimie de Montpellier 	France
Ecole Superieure de Physique et de Chimie Industrielles de la Ville de Paris (ESPCI)	France
Jiangsu Academy of Agricultural Sciences	China
Department of Space (
