 Finnish Geospatial Research Institute (FGI)	Finland
Higher Colleges of Technology - United Arab Emirates	United Arab Emirates
Universita Kore di ENNA  	Italy
University of Prince Edward Island	Canada
Copperbelt University 	Zambia
Universidade Federal de Santa Maria (UFSM)	Brazil
Donetsk Institute for Physics & Engineering named after O.O. Galkin of the National Academy of Sciences of Ukraine	Ukraine
Ukrainian State University of Chemical Engineering  	Ukraine 
Estonian Business School	Estonia
Opple Lighting	China
Bright Dairy & Food Co Ltd	China
Mediatek Incorporated	Taiwan
Istituto per la Tecnologia delle Membrane (ITM-CNR)	Italy
Tribhuvan University	Nepal
Institute of Hydrobiology CAS	China
Nesmeyanov Institute of Organoelement Comp
